60 22
23173	25116	19181	23469	12198	15045	13387	12349	12308	14797	16805	14248	15601	8618	8170	7496	5868	9823	2601	4549	3396	2452
3105	3202	2413	2329	1850	2769	2243	1684	2075	2178	2006	1892	1669	1072	986	1305	828	1220	331	657	471	253
2884	2857	3112	3406	1629	2610	1666	1339	1716	1867	1910	1501	1658	1000	943	1017	594	1027	430	517	406	408
3094	2547	2566	2204	1976	1988	1996	1505	1604	1279	1863	1521	1120	1169	770	876	1050	793	435	423	225	408
2483	3194	2261	3023	1711	2274	1828	1631	1262	1498	1514	1360	974	789	945	936	881	802	333	578	220	262
2570	2428	2270	2663	1879	2298	2203	1846	1335	1685	1659	1127	1114	780	627	1079	553	1059	310	748	640	680
1968	2803	2404	2177	1701	2226	1823	1673	1501	1575	1442	1478	1226	946	915	1085	779	1021	358	734	447	484
2496	2428	1943	1970	1967	2887	1955	1947	1568	1457	1223	1488	1246	1106	1034	1039	987	831	370	659	573	351
2313	3314	2122	2542	2401	2281	1680	1736	1819	1864	1588	1742	1679	1073	999	957	560	911	403	659	461	441
2335	2864	2629	2472	1802	2277	1666	1923	1539	1570	1701	1480	1448	1105	776	962	730	809	569	592	484	436
2446	2537	2613	2208	2044	2705	1898	2006	1603	1489	1657	1701	1303	1054	885	956	988	1006	683	678	486	453
2987	2758	2684	3045	2173	2569	1724	2000	1412	1738	1529	1353	1589	1039	887	1013	967	1089	510	697	553	414
2584	3204	2585	3102	2195	2619	2277	2281	1668	1484	1768	1925	1845	992	984	1077	917	738	389	686	585	401
2758	3003	2479	2677	2029	2598	2240	1617	1779	1662	1963	1974	1433	999	919	894	810	1321	556	683	563	545
2900	2680	2940	2812	2638	1990	2259	1684	1458	2000	1912	1579	2062	1099	1069	1021	875	1341	657	880	531	537
2539	2728	2999	3081	2443	2750	2440	1998	1637	1751	2031	2026	1517	1084	982	1016	821	1175	764	967	602	611
2884	2724	3308	2528	2146	3459	2126	1828	1562	2050	2321	1443	1622	957	924	1069	935	1234	742	859	512	453
3120	2872	2888	2716	2552	2614	2480	2056	1806	2342	2223	1616	1710	1205	1027	1031	873	1170	641	933	674	512
3001	2879	3275	3052	2799	2728	2165	2537	1698	2501	2633	1464	1592	1187	1116	1286	1163	1415	565	832	784	600
